,id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation,duration,km,booking,m_booking,on_booking
8,132521,22182,65,2.0,3,448.0,NA,15.0,NA,2013-01-01 16:00:00,2013-01-02 00:00:00,0,0,1/1/2013 9:44,12.92732,77.63575,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
20,132535,22190,87,2.0,3,471.0,NA,15.0,NA,2013-01-01 14:30:00,2013-01-01 22:30:00,0,0,1/1/2013 12:52,13.01854,77.63524,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
23,132538,21995,12,1.0,3,1286.0,NA,15.0,NA,2013-01-01 16:30:00,2013-01-01 20:30:00,0,0,1/1/2013 14:39,12.973448,77.62032,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
34,132552,22201,12,1.0,3,1323.0,NA,15.0,NA,2013-01-01 20:00:00,2013-01-02 00:00:00,1,0,1/1/2013 17:25,12.869805,77.653211,NA,NA,0,0 days 04:00:00,40.0,NoneOnline,,Online
47,132569,15846,12,2.0,3,142.0,NA,15.0,NA,2013-01-02 03:00:00,2013-01-02 11:00:00,0,0,1/1/2013 19:37,12.91281,77.60923,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
71,132598,21995,28,2.0,3,87.0,NA,15.0,NA,2013-01-02 12:00:00,2013-01-02 20:00:00,0,0,1/2/2013 8:35,12.97003,77.60658,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
74,132602,15529,12,2.0,3,217.0,NA,15.0,NA,2013-01-02 14:30:00,2013-01-02 22:30:00,0,0,1/2/2013 9:04,13.0011,77.6235,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
76,132605,15846,17,1.0,3,142.0,NA,15.0,NA,2013-01-02 10:30:00,2013-01-02 14:30:00,0,0,1/2/2013 9:18,12.91281,77.60923,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
79,132608,22228,12,2.0,3,590.0,NA,15.0,NA,2013-01-02 11:00:00,2013-01-02 19:00:00,0,0,1/2/2013 10:08,13.00826,77.56433,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
80,132609,2005,24,1.0,3,1086.0,NA,15.0,NA,2013-01-02 12:15:00,2013-01-02 16:15:00,1,0,1/2/2013 10:14,12.907487,77.64729,NA,NA,0,0 days 04:00:00,40.0,NoneOnline,,Online
81,132610,22229,12,2.0,3,1053.0,NA,15.0,NA,2013-01-02 11:30:00,2013-01-02 19:30:00,0,0,1/2/2013 10:29,12.912799,77.589784,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
90,132620,22236,85,2.0,3,393.0,NA,15.0,NA,2013-01-02 16:00:00,2013-01-03 00:00:00,1,0,1/2/2013 11:59,13.19956,77.70688,NA,NA,0,0 days 08:00:00,80.0,NoneOnline,,Online
91,132621,18777,12,1.0,3,293.0,NA,15.0,NA,2013-01-02 17:00:00,2013-01-02 21:00:00,1,0,1/2/2013 12:15,12.849482,77.663187,NA,NA,0,0 days 04:00:00,40.0,NoneOnline,,Online
101,132632,694,28,2.0,3,6.0,NA,15.0,NA,2013-01-02 16:00:00,2013-01-03 00:00:00,1,0,1/2/2013 14:34,12.97739,77.61762,NA,NA,0,0 days 08:00:00,80.0,NoneOnline,,Online
109,132641,22246,12,1.0,3,1084.0,NA,15.0,NA,2013-01-02 16:45:00,2013-01-02 20:45:00,0,0,1/2/2013 16:12,12.892657,77.581866,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
147,132684,22270,28,1.0,3,601.0,NA,15.0,NA,2013-01-03 09:15:00,2013-01-03 13:15:00,0,0,1/3/2013 8:24,13.02434,77.56593,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
154,132692,1256,12,1.0,3,58.0,NA,15.0,NA,2013-01-03 12:00:00,2013-01-03 16:00:00,0,0,1/3/2013 10:11,12.88963,77.60119,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
155,132693,20432,12,1.0,3,149.0,NA,15.0,NA,2013-01-03 11:00:00,2013-01-03 15:00:00,0,0,1/3/2013 10:25,12.93022,77.56039,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
157,132695,41448,12,1.0,3,767.0,NA,15.0,NA,2013-01-05 14:30:00,2013-01-05 18:30:00,1,0,1/3/2013 10:32,12.9122,77.51043,NA,NA,0,0 days 04:00:00,40.0,NoneOnline,,Online
167,132706,868,12,1.0,3,824.0,NA,15.0,NA,2013-01-03 15:00:00,2013-01-03 19:00:00,0,0,1/3/2013 14:13,13.06557,77.58646,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
184,132724,22292,36,2.0,3,541.0,NA,15.0,NA,2013-01-04 19:30:00,2013-01-05 03:30:00,0,0,1/3/2013 17:44,12.93524,77.61997,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
198,132740,4865,12,2.0,3,1378.0,NA,15.0,NA,2013-01-05 10:00:00,2013-01-05 18:00:00,1,0,1/3/2013 21:15,12.827912,77.679642,NA,NA,0,0 days 08:00:00,80.0,NoneOnline,,Online
200,132742,21644,65,2.0,3,1015.0,NA,15.0,NA,2013-01-04 05:15:00,2013-01-04 13:15:00,0,0,1/3/2013 21:34,12.93086,77.57769,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
212,132756,25774,12,1.0,3,571.0,NA,15.0,NA,2013-01-04 13:15:00,2013-01-04 17:15:00,0,0,1/4/2013 8:36,12.95185,77.69642,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
215,132759,22308,12,1.0,3,1058.0,NA,15.0,NA,2013-01-04 10:15:00,2013-01-04 14:15:00,0,0,1/4/2013 9:15,12.914535,77.631658,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
229,132775,22316,28,1.0,3,767.0,NA,15.0,NA,2013-01-04 12:15:00,2013-01-04 16:15:00,0,0,1/4/2013 11:16,12.9122,77.51043,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
230,132776,22236,24,2.0,3,1191.0,NA,15.0,NA,2013-01-04 12:30:00,2013-01-04 20:30:00,0,0,1/4/2013 11:24,13.03017,77.56684,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
231,132777,34078,85,1.0,3,1230.0,NA,15.0,NA,2013-01-05 11:30:00,2013-01-05 15:30:00,0,0,1/4/2013 11:27,13.02239,77.59492,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
235,132782,22320,12,2.0,3,1214.0,NA,15.0,NA,2013-01-04 14:30:00,2013-01-04 22:30:00,0,0,1/4/2013 13:22,12.97672,77.64927,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
240,132787,19126,12,2.0,3,145.0,NA,15.0,NA,2013-01-04 15:45:00,2013-01-04 23:45:00,0,0,1/4/2013 14:23,12.99067,77.65587,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
253,132801,21088,12,2.0,3,293.0,NA,15.0,NA,2013-01-05 12:00:00,2013-01-05 20:00:00,0,0,1/4/2013 16:24,12.849482,77.663187,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
254,132802,22332,28,1.0,3,115.0,NA,15.0,NA,2013-01-04 18:00:00,2013-01-04 22:00:00,0,0,1/4/2013 16:26,12.99319,77.54472,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
272,132828,22345,87,2.0,3,1096.0,NA,15.0,NA,2013-01-05 04:00:00,2013-01-05 12:00:00,1,0,1/4/2013 19:34,12.96519,77.71932,NA,NA,0,0 days 08:00:00,80.0,NoneOnline,,Online
274,132831,22346,12,2.0,3,784.0,NA,15.0,NA,2013-01-05 08:45:00,2013-01-05 16:45:00,0,0,1/4/2013 19:50,12.96634,77.60709,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
278,132835,17444,12,1.0,3,571.0,NA,15.0,NA,2013-01-05 10:00:00,2013-01-05 14:00:00,0,0,1/4/2013 20:19,12.95185,77.69642,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
282,132841,22352,28,2.0,3,115.0,NA,15.0,NA,2013-01-06 01:30:00,2013-01-06 09:30:00,1,0,1/4/2013 21:02,12.99319,77.54472,NA,NA,0,0 days 08:00:00,80.0,NoneOnline,,Online
287,132850,22359,12,1.0,3,1010.0,NA,15.0,NA,2013-01-05 09:00:00,2013-01-05 13:00:00,0,0,1/4/2013 22:25,12.96691,77.74935,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
299,132868,20430,12,1.0,3,89.0,NA,15.0,NA,2013-01-05 10:45:00,2013-01-05 14:45:00,0,0,1/5/2013 9:28,12.96519,77.71932,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
301,132871,22369,12,1.0,3,1170.0,NA,15.0,NA,2013-01-05 12:00:00,2013-01-05 16:00:00,1,0,1/5/2013 10:28,12.98793,77.52612,NA,NA,0,0 days 04:00:00,40.0,NoneOnline,,Online
302,132872,17528,85,2.0,3,393.0,NA,15.0,NA,2013-01-06 12:30:00,2013-01-06 20:30:00,1,0,1/5/2013 10:29,13.19956,77.70688,NA,NA,0,0 days 08:00:00,80.0,NoneOnline,,Online
305,132877,24916,12,1.0,3,1383.0,NA,15.0,NA,2013-01-05 12:30:00,2013-01-05 16:30:00,0,0,1/5/2013 10:51,12.930451,77.685822,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
306,132878,22372,24,1.0,3,1077.0,NA,15.0,NA,2013-01-05 12:00:00,2013-01-05 16:00:00,0,0,1/5/2013 10:53,12.990236,77.586393,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
308,132882,41448,12,1.0,3,767.0,NA,15.0,NA,2013-01-19 11:30:00,2013-01-19 15:30:00,1,0,1/5/2013 11:46,12.9122,77.51043,NA,NA,0,0 days 04:00:00,40.0,NoneOnline,,Online
321,132899,16934,12,2.0,3,293.0,NA,15.0,NA,2013-01-05 15:30:00,2013-01-05 23:30:00,0,0,1/5/2013 14:38,12.849482,77.663187,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
331,132910,22386,12,2.0,3,292.0,NA,15.0,NA,2013-01-05 17:45:00,2013-01-06 01:45:00,0,0,1/5/2013 15:36,12.93944,77.62923,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
341,132922,22391,85,1.0,3,217.0,NA,15.0,NA,2013-01-05 19:30:00,2013-01-05 23:30:00,0,0,1/5/2013 17:50,13.0011,77.6235,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
345,132927,22392,12,1.0,3,25.0,NA,15.0,NA,2013-01-05 19:45:00,2013-01-05 23:45:00,0,0,1/5/2013 18:52,12.98059,77.57475,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
375,132966,22414,12,2.0,3,1056.0,NA,15.0,NA,2013-01-06 02:30:00,2013-01-06 10:30:00,0,0,1/6/2013 0:26,12.919199,77.60931,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
385,132978,16070,12,1.0,3,478.0,NA,15.0,NA,2013-01-06 09:30:00,2013-01-06 13:30:00,0,0,1/6/2013 8:12,12.9221,77.55263,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
388,132982,21901,12,2.0,3,58.0,NA,15.0,NA,2013-01-06 12:00:00,2013-01-06 20:00:00,1,0,1/6/2013 8:31,12.88963,77.60119,NA,NA,0,0 days 08:00:00,80.0,NoneOnline,,Online
389,132983,22422,12,1.0,3,450.0,NA,15.0,NA,2013-01-06 13:00:00,2013-01-06 17:00:00,0,0,1/6/2013 8:42,12.9334,77.62652,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
395,132992,22372,12,2.0,3,1077.0,NA,15.0,NA,2013-01-06 11:00:00,2013-01-06 19:00:00,0,0,1/6/2013 9:48,12.990236,77.586393,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
396,132993,24916,12,1.0,3,1383.0,NA,15.0,NA,2013-01-07 09:00:00,2013-01-07 13:00:00,0,0,1/6/2013 10:07,12.930451,77.685822,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
407,133005,22434,12,2.0,3,561.0,NA,15.0,NA,2013-01-07 03:30:00,2013-01-07 11:30:00,0,0,1/6/2013 12:07,13.00983,77.62967,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
416,133015,7500,28,2.0,3,112.0,NA,15.0,NA,2013-01-06 15:00:00,2013-01-06 23:00:00,0,0,1/6/2013 13:12,12.93331,77.56666,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
419,133018,21672,65,2.0,3,689.0,NA,15.0,NA,2013-01-06 15:00:00,2013-01-06 23:00:00,0,0,1/6/2013 13:48,12.97672,77.64927,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
424,133025,22447,12,1.0,3,1246.0,NA,15.0,NA,2013-01-06 16:00:00,2013-01-06 20:00:00,0,0,1/6/2013 15:21,12.95158,77.57833,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
426,133028,17032,12,1.0,3,1085.0,NA,15.0,NA,2013-01-06 17:45:00,2013-01-06 21:45:00,0,0,1/6/2013 16:10,12.911942,77.651582,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
456,133065,41,12,1.0,3,396.0,NA,15.0,NA,2013-01-07 14:00:00,2013-01-07 18:00:00,0,0,1/7/2013 0:41,12.92073,77.66482,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
460,133072,18939,12,1.0,3,571.0,NA,15.0,NA,2013-01-07 10:30:00,2013-01-07 14:30:00,0,0,1/7/2013 7:55,12.95185,77.69642,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
461,133073,15846,12,1.0,3,142.0,NA,15.0,NA,2013-01-07 09:45:00,2013-01-07 13:45:00,0,0,1/7/2013 8:16,12.91281,77.60923,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
463,133075,22469,12,2.0,3,776.0,NA,15.0,NA,2013-01-07 09:30:00,2013-01-07 17:30:00,0,0,1/7/2013 8:24,13.01508,77.67796,NA,NA,0,0 days 08:00:00,80.0,NoneNone,,
484,133097,24916,12,1.0,3,1383.0,NA,15.0,NA,2013-01-08 09:15:00,2013-01-08 13:15:00,0,0,1/7/2013 12:10,12.930451,77.685822,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
487,133100,16801,12,1.0,3,1054.0,NA,15.0,NA,2013-01-07 16:00:00,2013-01-07 20:00:00,1,0,1/7/2013 12:34,12.90184,77.581587,NA,NA,0,0 days 04:00:00,40.0,NoneOnline,,Online
502,133117,22487,12,1.0,3,1026.0,NA,15.0,NA,2013-01-07 18:00:00,2013-01-07 22:00:00,0,0,1/7/2013 16:16,13.10482,77.57631,NA,NA,0,0 days 04:00:00,40.0,NoneNone,,
